pair_id,direction,lpips,ssim,psnr
1,morning_to_dawn,0.6549,0.1278,11.56
1,dawn_to_morning,0.638,0.1225,11.61
2,morning_to_dawn,0.6078,0.0581,12.73
2,dawn_to_morning,0.5861,0.0528,12.71
3,morning_to_dawn,0.6472,0.0953,11.97
3,dawn_to_morning,0.6162,0.0862,11.71
4,morning_to_dawn,0.6901,0.0764,11.09
4,dawn_to_morning,0.6675,0.067,10.59
5,morning_to_dawn,0.6741,0.1045,12.97
5,dawn_to_morning,0.6478,0.0964,12.62
6,noon_to_evening,0.4323,0.1598,12.29
6,evening_to_noon,0.4013,0.1419,11.64
7,noon_to_evening,0.5257,0.1349,12.03
7,evening_to_noon,0.515,0.113,10.21
8,noon_to_evening,0.4465,0.0923,12.32
8,evening_to_noon,0.3912,0.0727,10.85
9,noon_to_evening,0.5037,0.2402,11.59
9,evening_to_noon,0.4533,0.2033,10.14
10,noon_to_evening,0.5915,0.0553,10.66
10,evening_to_noon,0.5892,0.0394,9.48
11,noon_to_evening,0.5443,0.1585,11.23
11,evening_to_noon,0.5279,0.1362,10.67
12,noon_to_evening,0.4872,0.2855,10.51
12,evening_to_noon,0.4502,0.2547,10.03
13,noon_to_evening,0.5693,0.11,10.26
13,evening_to_noon,0.5402,0.0831,8.83
14,morning_to_night,0.6412,0.2928,14.42
14,night_to_morning,0.6795,0.1065,10.35
15,morning_to_night,0.7107,0.3144,17.32
15,night_to_morning,0.8011,0.0852,8.88
16,morning_to_night,0.7373,0.2471,15.78
16,night_to_morning,0.8627,0.0203,7.88
17,morning_to_night,0.6991,0.2265,12.68
17,night_to_morning,0.7043,0.0575,8.62
18,morning_to_night,0.7046,0.2366,13.91
18,night_to_morning,0.7042,0.1336,10.28
19,morning_to_night,0.6686,0.2119,14.85
19,night_to_morning,0.7499,0.053,8.44
20,morning_to_night,0.7545,0.271,14.64
20,night_to_morning,0.844,0.0827,8.47
21,morning_to_night,0.7899,0.1674,10.98
21,night_to_morning,0.7662,0.1153,10.66
