pair_id,direction,lpips,ssim,psnr,condition_correct,predicted_time,clip_score
1,morning_to_dawn,0.8859,0.1283,10.98,1,dawn,0.2762
1,dawn_to_morning,0.866,0.1722,12.08,0,dawn,0.238
2,morning_to_dawn,0.8412,0.0678,10.65,1,dawn,0.2957
2,dawn_to_morning,0.8469,0.0782,11.29,0,dawn,0.256
3,morning_to_dawn,0.7909,0.0848,9.84,1,dawn,0.2808
3,dawn_to_morning,0.8737,0.084,10.89,1,morning,0.2538
4,morning_to_dawn,0.7874,0.1111,11.4,0,night,0.2671
4,dawn_to_morning,0.8552,0.0685,9.08,1,morning,0.2595
5,morning_to_dawn,0.8444,0.1227,10.31,0,night,0.2619
5,dawn_to_morning,0.8479,0.0826,9.8,1,morning,0.2484
6,noon_to_evening,0.6785,0.1148,10.61,1,evening,0.2852
6,evening_to_noon,0.7277,0.1016,12.0,1,noon,0.2505
7,noon_to_evening,0.7907,0.105,9.82,0,night,0.2386
7,evening_to_noon,0.6682,0.1575,10.8,1,noon,0.2418
8,noon_to_evening,0.4147,0.0726,11.39,1,evening,0.252
8,evening_to_noon,0.7027,0.0511,9.72,1,noon,0.2562
9,noon_to_evening,0.6223,0.1745,9.11,1,evening,0.2691
9,evening_to_noon,0.6798,0.2226,10.9,1,noon,0.2543
10,noon_to_evening,0.791,0.0698,10.9,1,evening,0.2781
10,evening_to_noon,0.7607,0.0566,10.83,1,noon,0.248
11,noon_to_evening,0.6279,0.1479,10.78,1,evening,0.2774
11,evening_to_noon,0.6829,0.0837,10.59,1,noon,0.26
12,noon_to_evening,0.4817,0.2563,10.16,0,noon,0.2206
12,evening_to_noon,0.8667,0.1376,9.78,0,morning,0.2249
13,noon_to_evening,0.7836,0.0815,9.16,0,dawn,0.281
13,evening_to_noon,0.7474,0.0712,10.8,1,noon,0.2432
14,morning_to_night,0.7946,0.1033,10.81,1,night,0.2465
14,night_to_morning,0.79,0.1653,11.84,1,morning,0.2508
15,morning_to_night,0.8093,0.2528,12.05,1,night,0.2377
15,night_to_morning,0.7715,0.1037,9.73,0,noon,0.237
16,morning_to_night,0.6892,0.2188,10.88,1,night,0.2471
16,night_to_morning,0.839,0.0847,10.08,0,night,0.2288
17,morning_to_night,0.7676,0.2061,11.37,1,night,0.2714
17,night_to_morning,0.8165,0.0886,11.17,0,dawn,0.2535
18,morning_to_night,0.8718,0.2686,12.63,1,night,0.2619
18,night_to_morning,0.8795,0.2696,10.87,1,morning,0.242
19,morning_to_night,0.7458,0.1976,11.0,1,night,0.2513
19,night_to_morning,0.8322,0.0596,10.33,0,noon,0.2614
20,morning_to_night,0.806,0.2587,12.11,1,night,0.2528
20,night_to_morning,0.8264,0.115,10.05,0,dawn,0.2626
21,morning_to_night,0.8728,0.1242,10.15,1,night,0.2499
21,night_to_morning,0.859,0.1355,10.12,0,noon,0.2384
