pair_id,direction,lpips,ssim,psnr,condition_correct,predicted_time,clip_score
1,morning_to_dawn,0.6924,0.1223,10.82,1,dawn,0.2474
1,dawn_to_morning,0.669,0.1153,10.93,0,noon,0.2227
2,morning_to_dawn,0.72,0.0527,11.74,1,dawn,0.2733
2,dawn_to_morning,0.5968,0.0494,12.4,0,noon,0.2454
3,morning_to_dawn,0.6716,0.0874,11.26,1,dawn,0.2529
3,dawn_to_morning,0.6098,0.0831,11.52,0,noon,0.2374
4,morning_to_dawn,0.7795,0.0735,10.23,0,evening,0.2568
4,dawn_to_morning,0.6842,0.0631,10.53,0,noon,0.234
5,morning_to_dawn,0.7276,0.0962,11.7,1,dawn,0.2774
5,dawn_to_morning,0.6548,0.0964,12.59,0,noon,0.2467
6,noon_to_evening,0.4796,0.1429,11.6,1,evening,0.2524
6,evening_to_noon,0.3993,0.1481,12.06,0,evening,0.2262
7,noon_to_evening,0.6717,0.1284,10.77,1,evening,0.2721
7,evening_to_noon,0.4926,0.1289,10.83,0,night,0.2034
8,noon_to_evening,0.4834,0.0801,11.2,1,evening,0.2666
8,evening_to_noon,0.4109,0.0702,11.16,0,night,0.2178
9,noon_to_evening,0.649,0.221,9.79,1,evening,0.2833
9,evening_to_noon,0.4323,0.2175,10.65,0,night,0.2045
10,noon_to_evening,0.62,0.0516,9.97,1,evening,0.265
10,evening_to_noon,0.5473,0.0432,9.79,0,night,0.2219
11,noon_to_evening,0.608,0.1511,10.5,1,evening,0.2654
11,evening_to_noon,0.5285,0.1464,10.7,0,night,0.2409
12,noon_to_evening,0.5248,0.2653,9.96,1,evening,0.2432
12,evening_to_noon,0.518,0.2182,9.4,0,night,0.2223
13,noon_to_evening,0.6344,0.1032,9.08,1,evening,0.2634
13,evening_to_noon,0.6948,0.0937,9.56,1,noon,0.2633
14,morning_to_night,0.6192,0.1938,13.58,1,night,0.2883
14,night_to_morning,0.6756,0.1261,11.53,0,night,0.2422
15,morning_to_night,0.7322,0.2167,15.37,0,evening,0.2712
15,night_to_morning,0.7582,0.0964,9.58,0,night,0.2263
16,morning_to_night,0.6556,0.3504,15.16,1,night,0.2758
16,night_to_morning,0.7947,0.0522,9.28,0,night,0.2428
17,morning_to_night,0.6572,0.1458,11.66,1,night,0.2933
17,night_to_morning,0.6817,0.0609,9.27,0,night,0.2162
18,morning_to_night,0.6561,0.194,13.85,1,night,0.2744
18,night_to_morning,0.6862,0.1242,10.81,0,night,0.2324
19,morning_to_night,0.6451,0.1719,14.05,1,night,0.282
19,night_to_morning,0.7297,0.0522,9.37,0,night,0.2096
20,morning_to_night,0.7354,0.2517,13.57,1,night,0.28
20,night_to_morning,0.8161,0.0867,9.27,0,night,0.2471
21,morning_to_night,0.7544,0.1205,10.61,1,night,0.293
21,night_to_morning,0.7331,0.1192,11.35,0,night,0.2281
